created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Sep 23 04:25:13 +0000 2023;1705438143363813881;"@TeddGus @prabowo Maklum 20 tahun asetnya mandeg krn gak berkuasa.";0;0;0;0;in;1652821101918158849;1705403127158145493;tuanku_rakyat;https://twitter.com/tuanku_rakyat/status/1705438143363813881
Sat Sep 23 04:05:31 +0000 2023;1705433184350212359;"Prabowo dan kroninya kuasai bisnis pangan melalui PT Agrinas yang berakhir mangkrak  Morninggg Pagi-pagi Gojo Sambo Alam Ganjar Rewrite the Stars Peterpan Sarapan Jalur Gambar Javanese Hospital Playlist 長谷川唯 ジャニフェス #KeripikKentangJepang 元愛知大生3人 https://t.co/VrALPt9vI6";0;0;1;1;ja;1643149493158969344;1705433184350212359;AlfiAndini76700;https://twitter.com/AlfiAndini76700/status/1705433184350212359
Sat Sep 23 04:01:56 +0000 2023;1705432285066232128;"Demokrat sudah gabung Prabowo ya? Terus partai apa saja yang mendukung para Capres?  Ganjar berapa partai yang mendukung. Prabowo berapa partai yang mendukung. Anies berapa partai yang mendukung.";0;0;2;2;in;2504369346;1705432285066232128;NMS_AmpelDenta7;https://twitter.com/NMS_AmpelDenta7/status/1705432285066232128
Sat Sep 23 03:56:04 +0000 2023;1705430808390180875;"Demokrat Dukung Prabowo, Pengamat: Khofifah Berpeluang Cawapres. 👇  Bergabungnya Demokrat ke kubu Koalisi Indonesia Maju (KIM), menurut pengamat politik dari Surabaya Survey Center (SSC)… #PolitikPemerintahan #Demokrat #Iksanrosidi via @beritajatimcom https://t.co/IvDCGBKsed";0;0;0;0;in;21287066;1705430808390180875;beritajatimcom;https://twitter.com/beritajatimcom/status/1705430808390180875
Sat Sep 23 03:25:05 +0000 2023;1705423009262284913;"Prabowo Subianto, Capres Koalisi Indonesia Maju, diterpa sejumlah isu hangat menjelang Pilpres 2024. MendingPrabowo di Pemilu2024";0;0;0;0;in;1655923019091681281;1705423009262284913;nafdefara;https://twitter.com/nafdefara/status/1705423009262284913
Sat Sep 23 03:02:20 +0000 2023;1705417284452491731;"Partai Demokrat dukung Prabowo capres 2024, AHY berapi-api! Dekade08 di Pilpres2024";0;0;0;0;in;1655923019091681281;1705417284452491731;nafdefara;https://twitter.com/nafdefara/status/1705417284452491731
Sat Sep 23 02:22:58 +0000 2023;1705407378890662109;"@Paltiwest @CaturYu28266504 "Brengsek tuh orang"  - Prabowo S";0;0;1;1;in;202893943;1705380985062461586;5dhany5;https://twitter.com/5dhany5/status/1705407378890662109
Sat Sep 23 02:21:33 +0000 2023;1705407021200425256;""Tentang Panggung Najwa"  Di posisi swing voter, saya bisa menilai ketiga bacapres lebih jernih. Saya bisa bilang seperti itu karena saya pernah di posisi bukan swing voter.  2014 dan 2019 saya dukung Jokowi, jadi penampilan Jokowi pasti bagus dan penampilan Prabowo saat itu…";0;16;21;44;in;185156524;1705407021200425256;hasyimmah;https://twitter.com/hasyimmah/status/1705407021200425256
Sat Sep 23 01:50:52 +0000 2023;1705399300027822118;"@VIVAcoid Pak prabowo bukan bohong, sepertinya beliau hanya lupa kalau ternyata belum mencoret, maklum faktor usia, kalian harus sopan sm orang tua ya";0;1;0;10;in;1250254393795948545;1705327754278064160;CumaDokter;https://twitter.com/CumaDokter/status/1705399300027822118
Sat Sep 23 01:14:34 +0000 2023;1705390163575427481;"@alisyarief Tanpa pasangan yg mewakili Islam Prabowo Ganjar akan sulit memenangkan pilpres 2024";0;0;0;1;in;787175266908934144;1705217165128036670;HudSuharg;https://twitter.com/HudSuharg/status/1705390163575427481
Sat Sep 23 00:52:55 +0000 2023;1705384717804269592;"Alumni (Asli) 212 TIDAK AKAN PERNAH Mendukung Seorang PENGHIANAT Prabowo S.!!!!";0;0;0;0;in;116688767;1705384717804269592;husodo165;https://twitter.com/husodo165/status/1705384717804269592
Sat Sep 23 00:42:49 +0000 2023;1705382173644349692;"Soal Wacana Duet Prabowo-Ganjar, Waketum Gerindra: Kita Tidak Akan Memaksakan Diri https://t.co/C1eMbMmf1v";0;0;0;1;in;848614550;1705382173644349692;e100ss;https://twitter.com/e100ss/status/1705382173644349692
Fri Sep 22 23:56:16 +0000 2023;1705370461683794021;"@KhoirilAnwar_ @hariqosatria @alextham878 @Alie_Fahnoor @AndreasSolusi @are_inismyname @florieliciouss @bengkeldodo @BANGSAygSUJUD @G0mb4k Viewer itu pengen liat prabowo joget";0;0;0;0;in;3383261353;1705209268683809056;AFitrisby;https://twitter.com/AFitrisby/status/1705370461683794021
Fri Sep 22 23:35:52 +0000 2023;1705365325573685751;"@BungkusTukang Waduuhhh..dari Video macam begini mana bisa dijadikan rujukan ?? Janganlah kita potong2 jabaran orang untuk penggalangan opini negatif !!itu tdk adil.@prabowo  @mohmahfudmd  @yennywahid";0;0;0;0;in;2191987490;1705135718551703683;sdarwisbali;https://twitter.com/sdarwisbali/status/1705365325573685751
